loss_func_list,grad_norm_list
3709.137616854174,7418275233.720691
74.00753555697788,7418275233.720691
1.4766546526420206,1047862842.2956381
0.029463337033975648,148015071.11420175
0.0005878749155216648,20907756.61912582
1.1729727555998892e-05,2953309.30528846
2.3404044789262082e-07,417167.4661996153
4.669753067273225e-09,58926.674068548964
9.31744657111186e-11,8323.642656340142
1.85908782542599e-12,1175.749831201602
3.7093948048282906e-14,166.07965087918254
7.401406797379875e-16,23.459455490151306
1.4782393436155375e-17,3.3137474060113425
3.095528823569341e-19,0.4680805206306321
2.0780788359695778e-20,0.06611919403084407
1.5020211378440658e-20,0.009339332580567346
1.490521821108582e-20,0.0013208389283025758
1.4902941124555786e-20,0.0001859664924333024
1.49028845883276e-20,2.574921202780232e-05
1.4902900573942014e-20,3.814734463111447e-06
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289920953216e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
1.4902900573942014e-20,9.538232388254818e-07
1.490289914485635e-20,9.538231946597232e-07
